Job name,Company,Deadline,Location
Export Manager,Artfood,18 April 2024,Yerevan
Accountant,«Դեֆանս Հաուզինգ Ինվեստ» ՓԲԸ,18 April 2024,Yerevan
Junior IT Sales Specialist,"WebWork Time Tracker, Inc.",18 April 2024,Yerevan
"Հաճախորդների մենեջեր, ք․ Հրազդան",IDBank CJSC,02 April 2024,Hrazdan
Rates-Pricing Assistant for MW Sweden,Maurice Ward Armenia,31 March 2024,Yerevan
Sales and Operations Coordinator,Maurice Ward Armenia,31 March 2024,Yerevan
English Teacher,“Academy Of Creative Explorers” LLC,18 April 2024,Yerevan
Express Van Services Coordinator,Maurice Ward Armenia,31 March 2024,Yerevan
Receptionist / Administrator,«Mounthree»,18 April 2024,Vanadzor
Revenue Management Specialist,Deluxe Technologies LLC,18 April 2024,Yerevan
Office Receptionist,Evolution,18 April 2024,Yerevan
Senior Media Buyer,iBooben Development,18 April 2024,Yerevan
Product manager,А-Медика,18 April 2024,Yerevan
Ֆինանսական հաշվետվությունների և բյուջետավորման մասնագետ,"""Telecom Armenia"" OJSC",18 April 2024,Yerevan
Medical representative,Solgar Armenia,12 April 2024,Yerevan
Graphic desinger,Sparsis Holding,18 April 2024,Yerevan
Տեխնիկական նախագծերի ղեկավար (TPM),"""Ardshinbank"" CJSC",26 March 2024,Yerevan
Լաբորանտ,EcoSense,31 March 2024,Yerevan
Gyumri Branch Manager,AMIO BANK,18 April 2024,Gyumri
Laboratory specialist,EcoSense,31 March 2024,Yerevan
Էլեկտրիկ-նախագծող,ԱՐԹ-ԳՐՈՒՊ ՍՊԸ,18 April 2024,Yerevan
Ներմուծման մենեջեր,Ադամիում,17 April 2024,Yerevan
Real estate sales/rent specialist,Calibri Real Estate Agency,18 April 2024,Yerevan
Խանութի մենեջեր,Brand Leader,18 April 2024,Nor Hachn
Ավագ հաշվապահ,Bacon Product LLC,18 April 2024,Arzni
Credit portfolio collection specialist - Visits,"LMS LLC, Loan Management Services",18 April 2024,Yerevan
Senior Network Engineer,Digitain,18 April 2024,Yerevan
ՍՐԱՀԻ ՊԱՏԱՍԽԱՆԱՏՈՒ,The LOFT,18 April 2024,Yerevan
Fixed Asset and Materials Accountant,TUMO Center for Creative Technologies,12 April 2024,Yerevan
Marketing communication Manager,Axioma Ltd,18 April 2024,Yerevan
Գլխավներոր ինժեներ,Էյ Էմ Գրուպ ՍՊԸ,18 April 2024,Yerevan
Loan Officer,CARD  AgroCredit UCO CJSC,18 April 2024,Yerevan
Հաշվապահ,VAK GROUP,18 April 2024,Yerevan
Հաշվետար,Brand Leader,18 April 2024,Yerevan
Call Centre Specialist/night shift,"""INGO ARMENIA"" Insurance CJSC",18 April 2024,Yerevan
Accountant,Freda,18 April 2024,Yerevan
Export specialist,A  M Rare,18 April 2024,Yerevan
ՏՏ աշխատակից,ECLOF Armenia,18 April 2024,Vagharshapat
Business Development Manager,ONEX LLC,31 March 2024,Yerevan
Angular Developer,Buymie,18 April 2024,Yerevan
Product manager in the passive and commission products department,VTB Bank (Armenia),18 April 2024,Yerevan
Փաստաբան պարտքերի հավաքագրման թիմում,Delex Law  firm,18 April 2024,Yerevan
Senior HR Generalist,Prime Group of Companies,18 April 2024,Yerevan
Ֆինանսական խորհրդատու՝ «Մարտունի» մասնաճյուղում,FastBank CJSC,05 April 2024,Martuni
Product manager,Yerevan Chocolate Company CJSC,17 April 2024,Yerevan
Culture and Engagement Manager,SoftConstruct,12 April 2024,Yerevan
"Senior ML engineer, Risk Modeling Division",Ameriabank CJSC,31 March 2024,Yerevan
Convergent and Fixed B2C Products Development Specialist,Viva-MTS (MTS Armenia CJSC),26 March 2024,Yerevan
IT auditor,FastBank CJSC,01 April 2024,Yerevan
Procurement Coordinator,People in Need,05 April 2024,Yerevan
Supervisor/Business Conduct Supervision Division/Microfinance Organizations and Business Conduct Supervision Department,CENTRAL BANK OF ARMENIA,02 April 2024,Yerevan
Accountant,ԱՐԹ-ԳՐՈՒՊ ՍՊԸ,17 April 2024,Yerevan
Վաճառքի բաժնի մասնագետ(վարկային մասնագետ),"""GLOBAL CREDIT"" UCO CJSC",03 April 2024,Yerevan
React Native Developer,DataArt Armenia,17 April 2024,Yerevan
Customer care representative,Tempus Group,17 April 2024,Yerevan
Personal Banker,Byblos Bank Armenia CJSC,07 April 2024,Yerevan
գանձապահ վաճառող,Շոփարթ ՍՊԸ,17 April 2024,Yerevan
Teller,Byblos Bank Armenia CJSC,07 April 2024,Yerevan
Համապատասխանության մասնագետ,Easy Pay,17 April 2024,Yerevan
sells agent,ԱՎԱՍ,17 April 2024,Hrazdan
sells agent,ԱՎԱՍ,14 April 2024,Artashat
Digital Advertising Manager (contract-based),Krisp,17 April 2024,Yerevan
Business Development Executive,Synergy International Systems,17 April 2024,Yerevan
Junior Python Software Developer,Daniam LLC,17 April 2024,Yerevan
Learning and Development Senior Specialist,Viva-MTS (MTS Armenia CJSC),27 March 2024,Yerevan
Operator,Իմպրես հաշվապահական ընկերություն,17 April 2024,Yerevan
Graphic Designer,Dalma Garden Mall,11 April 2024,Yerevan
Հաշվապահ՝ աշխատակիցների հաշվառման և աշխատավարձի հաշվարկման գործառույթներով,Հայաստանի Հաշվապահների Ասոցիացիա,17 April 2024,Yerevan
Տվյալների վերլուծության բաժնի մասնագետ,Acba Bank OJSC,17 April 2024,Yerevan
Middle HTML-CSS Mark up specialist,Digitain,31 March 2024,Yerevan
Web Products Designer,Viva-MTS (MTS Armenia CJSC),25 March 2024,Yerevan
Export specialist,Yerevan Chocolate Company CJSC,17 April 2024,Yerevan
Շենքի շահագործման տեխնիկ / Բանվոր,American University of Armenia Fund,02 April 2024,Yerevan
Մատուցող/ուհի,President Hotel,17 April 2024,Yerevan
Մաքրուհի/սպասուհի,President Hotel,17 April 2024,Yerevan
Սոցիալական աշխատող,Առաքելություն Հայաստան ԲՀԿ,24 March 2024,Yerevan
Reservation-sales agent,Deluxe Technologies LLC,17 April 2024,Yerevan
Head of  Department,Մրցակցության պաշտպանության հանձնաժողով,17 April 2024,Yerevan
SAP Basis Administrator,Acba Bank OJSC,17 April 2024,Yerevan
Quality Management System Specialist,AeroDynamics,17 April 2024,Yerevan
Document Control Specialist,AeroDynamics,17 April 2024,Yerevan
3D Printing Technician/Specialist,AeroDynamics,17 April 2024,Yerevan
Warehouse Operator,AeroDynamics,17 April 2024,Yerevan
Senior UI/UX Designer,AeroDynamics,17 April 2024,Yerevan
Hardware Test Engineer,AeroDynamics,17 April 2024,Yerevan
Senior Lawyer,AeroDynamics,17 April 2024,Yerevan
Analyst,"""INGO ARMENIA"" Insurance CJSC",17 April 2024,Yerevan
Accountant,ASK-Consult LLC,17 April 2024,Yerevan
Frond Desk Agent,President Hotel,17 April 2024,Yerevan
Logistics Sales Manager,HUMANIZZED,17 April 2024,Yerevan
Intern Sales Manager,Naghashyan Solutions,17 April 2024,Yerevan
Graphic Designer,Eachbase,17 April 2024,Yerevan
Executive assistant to the CEO,BoomTech,17 April 2024,Yerevan
Tax Consultant,KPMG Armenia LLC,17 April 2024,Yerevan
Junior IT Security Analyst / SOC Analyst,SoftConstruct,17 April 2024,Yerevan
Information Security Specialist,SoftConstruct,17 April 2024,Yerevan
Cyber Security Engineer,SoftConstruct,17 April 2024,Yerevan
Customer Support Agent (Russian Speaking),TokenWin,17 April 2024,Yerevan
Assistant of the National Director,SOS Children's Villages Armenia,30 March 2024,Yerevan
3D Motion Designer/ CG Generalist for Fastexverse,SoftConstruct,17 April 2024,Yerevan
Training Specialist (Customer Care),TokenWin,16 April 2024,Yerevan
B2B վաճառքի մենեջեր,ONE WAY TOUR,17 April 2024,Yerevan
Graphic Designer,TokenWin,17 April 2024,Yerevan
Senior Graphic Designer,TokenWin,17 April 2024,Yerevan
Game Presenter-Morning Shift,Evolution,17 April 2024,Yerevan
Cold Caller Specialist,Earlyone,17 April 2024,Yerevan
Office Maintenance Team specialist,Ameriabank CJSC,31 March 2024,Yerevan
Head of Marketing department,ARMENIA WINE FACTORY LLC,17 April 2024,Yerevan
Customer Support Agent (Turkish Language),TokenWin,17 April 2024,Yerevan
NATIONAL ALTERNATIVE CARE ADVISOR,SOS Children's Villages Armenia,17 April 2024,Yerevan
Bioinformatician / Data Scientist,Quantori Armenia,17 April 2024,Yerevan
Senior Machine Learning Engineer,Quantori Armenia,17 April 2024,Yerevan
Head of AML Division,Mellat bank,17 April 2024,Yerevan
Phone sales specialist in Vagharshapat,EFES,17 April 2024,Yerevan
Phone sales specialist,EFES,17 April 2024,Yerevan
Էլեկտրատեխնիկ,Atenk Ltd,17 April 2024,Yerevan
Voluntary insurance sales specialist,EFES,17 April 2024,Yerevan
Հիմնական միջոցների և պաշարների հաշվառման թիմի ղեկավար,Ucom,17 April 2024,Yerevan
IT Support Engineer,EFES,17 April 2024,Yerevan
Տնօրենի օգնական,ՄԼ Մայնինգ ՍՊԸ,17 April 2024,Yerevan
Marketing specialist,"""INGO ARMENIA"" Insurance CJSC",17 April 2024,Yerevan
Content Writer,FastBank CJSC,29 March 2024,Yerevan
Կորպորատիվ հաճախորդների ներգրավման մասնագետ,"""INGO ARMENIA"" Insurance CJSC",17 April 2024,Yerevan
Technical Project Manager/ VBET,SoftConstruct,17 April 2024,Yerevan
ՀոՌեԿա զարգացման պատասխանատու,Philip Morris Armenia LLC,17 April 2024,Yerevan
sales manager,SOLAR CENTRE LLC,08 April 2024,Martuni
E-sports խաղերի համակարգող,Digitain,31 March 2024,Yerevan
sales consultant,ՅՈՒՆԱՅԹԵԴ ՏԵԽՆԻԿԱԼ ՍԵՐՎԻՍ ՍՊԸ,16 April 2024,Yerevan
Embedded Software Engineer,Tauro Technologies,16 April 2024,Yerevan
ՀԱՇՎԱՊԱՀ,Triple Consulting,15 April 2024,Yerevan
Customer Care Specialist (Smart Sales software),Smart Systems LLC,15 April 2024,Yerevan
"WordPress, PHP developer",SourceCode development,15 April 2024,Yerevan
Graphic Designer/ Trainer,SmartCode,15 April 2024,Yerevan
Node.js Engineer/Trainer,SmartCode,15 April 2024,Yerevan
UI/UX Designer/Trainer,SmartCode,15 April 2024,Yerevan
Python Engineer/Trainer,SmartCode,15 April 2024,Yerevan
JavaScript Engineer/Trainer,SmartCode,15 April 2024,Yerevan
Product Manager/Trainer,SmartCode,15 April 2024,Yerevan
Full-stack Developer,Bringit Technologies,15 April 2024,Ashdod                                            (Remote)
Junior System Administrator,AeroDynamics,15 April 2024,Yerevan
Product Operations Specialist,Ameriabank CJSC,29 March 2024,Yerevan
Contact Centre Agent,HSBC Bank Armenia CJSC,29 March 2024,Yerevan
Contact Centre intern,HSBC Bank Armenia CJSC,29 March 2024,Yerevan
Head of Workshops Division,TUMO Center for Creative Technologies,14 April 2024,Yerevan
Learning Coach in Yeghegnadzor (part time),TUMO Center for Creative Technologies,14 April 2024,Yeghegnadzor
Learning Coach in Shatin (part time),TUMO Center for Creative Technologies,08 April 2024,Yeghegnadzor
Իրավաբան,"""INGO ARMENIA"" Insurance CJSC",14 April 2024,Yerevan
Internal Auditor,Digitain,14 April 2024,Yerevan
Teller (evening shift),Evocabank,31 March 2024,Yerevan
Credit Monitoring Specialist,Evocabank,31 March 2024,Yerevan
Head of Travel Department,SoftConstruct,14 April 2024,Yerevan
Senior Project Manager,Simply Technologies,14 April 2024,Yerevan
"Հաճախորդների սպասարկման մասնագետ, Արարատի մարզ",VTB Bank (Armenia),25 March 2024,Ararat
Node.js/Nest.Js  Developer,Qualldev,14 April 2024,Yerevan
Տեղեկատվական թիմի մասնագետ,FINCA UCO CJSC,04 April 2024,Yerevan
DevOps Engineer,Questrade International Inc.,12 April 2024,Yerevan
Customer Support Responsible,FastBank CJSC,25 March 2024,Artik
Պահեստի պատասխանատու,Evolution,14 April 2024,Yerevan
“Kapan” Branch Business Development Manager,FINCA UCO CJSC,04 April 2024,Kajaran
"Financial Operations Execution Automated Devices (FOEAD) Support Team, Specialist",Ameriabank CJSC,28 March 2024,Yerevan
Сook at the Asian cuisine cafe PHOBO,Soup Story,14 April 2024,Yerevan
"IT Administrator, Service Desk (all genders)",TeamViewer Armenia,14 April 2024,Yerevan
Economist,«Էրեբունի» ԲԿ,14 April 2024,Yerevan
Content Lead,Jumbo Bee,22 March 2024,Tbilisi
Chief Specialist,Մրցակցության պաշտպանության հանձնաժողով,14 April 2024,Yerevan
SMM մասնագետ,Brandon marketing,14 April 2024,Yerevan
Sales Manager,Nexolabs,14 April 2024,Yerevan
Բիզնես ուղղությունների իրավական սպասարկման վարչության իրավաբան,ՅՈՒՆԻԲԱՆԿ ԲԲԸ,14 April 2024,Yerevan
Software Development Intern / 49155BR,Synopsys Armenia,14 April 2024,Yerevan
Տեղադրման ստորաբաժանման ղեկավար,Էյ Էմ Գրուպ ՍՊԸ,14 April 2024,Yerevan
Construction Project Manager,Noah development LLC,14 April 2024,Yerevan
Հաշվապահ (արտադրության գծով),Էյ Էմ Գրուպ ՍՊԸ,14 April 2024,Yerevan
3D visualizer,Parvanyan Consulting LLC,11 April 2024,Yerevan
Digital Communications Specialist,My Forest Armenia,14 April 2024,Yerevan
Заготовщик кондитер,Gotcha.am,14 April 2024,Yerevan
Lawyer,Digitain,14 April 2024,Yerevan
Գանձապահ՝ «Նոր Գյումրի» մասնաճյուղում 18:00-01:00 աշխատաժամանակով,FastBank CJSC,22 March 2024,Gyumri
Product Manager,SoftConstruct,14 April 2024,Yerevan
3D Artist for Fastexverse,SoftConstruct,14 April 2024,Yerevan
Sales Manager,Fora Premium,14 April 2024,Yerevan
Graphic Designer,Partner Company,14 April 2024,Yerevan
Dispatcher- logist / English speaking,Garant Logistics LTD,14 April 2024,Yerevan
Գնումների և մատակարարման մենեջեր,Partner Company,14 April 2024,Yerevan
Dispatcher- logist,Garant Logistics LTD,14 April 2024,Yerevan
Աուդիտի բաժնի ղեկավար,Partner Company,14 April 2024,Yerevan
"Italian, Spanish or English Speaking Incoming Tour Manager",Armenia Holidays,14 April 2024,Yerevan
Տնօրենի օգնականի-գործավարուհու,S T SERVICE LLC,14 April 2024,Yerevan
Ֆինանսական տնօրեն,Partner Company,14 April 2024,Yerevan
Ֆինանսական վերլուծությունների և հաշվետվությունների բաժնի ղեկավար,"""INGO ARMENIA"" Insurance CJSC",14 April 2024,Yerevan
Sales Specialist,"""INGO ARMENIA"" Insurance CJSC",14 April 2024,Yerevan
Специалист по сбору информации,2GIS,14 April 2024,Yerevan
Mid+ Automation/Manual QA Engineer,Ameriabank CJSC,28 March 2024,Yerevan
Sales manager,S.A.V. GROUP LLC,31 March 2024,Yerevan
Հաճախորդների սպասարկման մասնագետ (Վարդենիս մասնաճյուղ),Acba Bank OJSC,01 April 2024,Vardenis
Lead Data Scientist,BUILG,14 April 2024,Yerevan
Data Engineer,BUILG,14 April 2024,Yerevan
Jira Administrator,Digitain,14 April 2024,Yerevan
Problem Manager,Digitain,14 April 2024,Yerevan
Change Management Specialist,Digitain,14 April 2024,Yerevan
Change and Release Management Unit Manager,Digitain,14 April 2024,Yerevan
Content Management Specialist,Digitain,14 April 2024,Yerevan
Product Trainer,Digitain,14 April 2024,Yerevan
Contact Center Specialist,Digitain,14 April 2024,Yerevan
International Customer Support Specialist (Chinese),Digitain,14 April 2024,Yerevan
International Customer Support Specialist (Turkish),Digitain,14 April 2024,Yerevan
International Customer Support Specialist,Digitain,14 April 2024,Yerevan
Ավագ հաշվապահ,Էյ Էմ Գրուպ ՍՊԸ,14 April 2024,Yerevan
International Customer Support Specialist (Spanish),Digitain,14 April 2024,Yerevan
Առաքման ծառայության աշխատակից,"""Նատալի Ֆարմ Դեղատուն՛՛ ՍՊԸ",14 April 2024,Yerevan
Գրաֆիկ դիզայներ,Bacon Product LLC,14 April 2024,Arzni
Բիզնես գործընթացների կառավարման և մեթոդոլոգիայի ուղղության պատասխանատու,"""Ardshinbank"" CJSC",25 March 2024,Yerevan
SMM Manager,Fast Shift LLC,14 April 2024,Yerevan
Իրավախորհրդատու (դատական հարցերով),"""Telecom Armenia"" OJSC",14 April 2024,Yerevan
Իրավախորհրդատու (Ընդհանուր հարցերով),"""Telecom Armenia"" OJSC",14 April 2024,Yerevan
"Հաճախորդների սպասարկման մասնագետ, ք. Չարենցավան",VTB Bank (Armenia),14 April 2024,Charentsavan
"""Մեղրի"" մասնաճյուղում Գանձապահ/Վարկային Մասնագետ / Բիզնեսի զարգացման մենեջեր",FINCA UCO CJSC,04 April 2024,Meghri
"Junior specialist,  Payment Instruments and Escrow Division",Ameriabank CJSC,25 March 2024,Yerevan
Economic Development Project Officer,Jinishian Memorial Foundation,14 April 2024,Yerevan
Գանձապահ՝ «Չարենցավան» մասնաճյուղում 13:00-22:00 աշխատաժամանակով,FastBank CJSC,14 April 2024,Charentsavan
Գանձապահ՝ «Չարենցավան» մասնաճյուղում 10:00-19:00 աշխատաժամանակով,FastBank CJSC,14 April 2024,Charentsavan
Գանձապահ՝ «Չարենցավան» մասնաճյուղում 09:00-18:00 աշխատաժամանակով,FastBank CJSC,14 April 2024,Charentsavan
Տեխնիկական աջակցման բաժնի մասնագետ,IDBank CJSC,29 March 2024,Yerevan
Mobile Sales and Service Specialist in Shirak region,Viva-MTS (MTS Armenia CJSC),29 March 2024,Bagratashen
Аналитик-разработчик (удаленно),WILDBERRIES LLC,13 April 2024,Yerevan                                            (Remote)
Middle Backend Developer (Laravel),Jumbo Bee,19 March 2024,Tbilisi
Ավագ հաշվետար,"""Telecom Armenia"" OJSC",13 April 2024,Yerevan
Macroeconomist/Monetary Policy Department/Macroeconomic Directorate,CENTRAL BANK OF ARMENIA,13 April 2024,Dilijan
Кладовщик ТЦ МЕГА МОЛЛ,SPORTMASTER,13 April 2024,Yerevan
Գանձապահ Upay ընկերությունում ք․ Եղեգնաձոր,Ucom,13 April 2024,Yerevan
Data Extraction/Technical Content Editor,Altacode,13 April 2024,Yerevan
Продавец,SPORTMASTER,13 April 2024,Yerevan
Accounting clerk,«Ռեստ Կոնցեպտ» ՍՊԸ,13 April 2024,Yerevan
Իրավաբան,Արատտա Քընսալթինգ,13 April 2024,Yerevan
Փոքր բիզնեսի հաճախորդների ներգրավման մենեջեր,VTB Bank (Armenia),13 April 2024,Yerevan
Թվային մարքեթինգի մասնագետ,Brandon marketing,13 April 2024,Yerevan
Manager,Coffee House Company,13 April 2024,Yerevan
"Team Lead, IT Service Desk (all genders)",TeamViewer Armenia,13 April 2024,Yerevan
Թվային հարթակների սպասարկման մասնագետ,Ucom,31 March 2024,Yerevan
Junior Accountant/ Assistant to Accounting department,Globalink Logistics DWC LLC Armenian Branch,12 April 2024,Yerevan
Communications Specialist,Coca-Cola Hellenic Bottling Company Armenia,31 March 2024,Yerevan
Engineer at the hotel,Keygo,13 April 2024,Yerevan
"Հաճախորդների սպասարկման առաջատար մասնագետ, « «Կենտրոն» մ/ճ, 12 ժամյա գրաֆիկ",IDBank CJSC,02 April 2024,Yerevan
Partner Success Manager,Relum,13 April 2024,Yerevan
"Հաճախորդների մենեջեր , «Կենտրոն» մ/ճ",IDBank CJSC,02 April 2024,Yerevan
Հաշվետար,Բեստ Ֆրենդս ՍՊԸ,13 April 2024,Yerevan
Retail Business Change Senior Specialist,Ameriabank CJSC,25 March 2024,Yerevan
Senior Python developer,Simply Technologies,03 April 2024,Yerevan
Business Development Manager,Simply Technologies,13 April 2024,Yerevan
"Senior specialist, Financial Risks Management Division",Ameriabank CJSC,25 March 2024,Yerevan
Administrative assistant,BANA Angels,12 April 2024,Yerevan
Product Manager,FINCA UCO CJSC,05 April 2024,Yerevan
Outbound tourism manager,Bright Tour LLC,13 April 2024,Yerevan
Մաքրուհի,«Դարֆ» ՍՊԸ,13 April 2024,Yerevan
“Talin” Branch Credit Officer/Business Development Manager,FINCA UCO CJSC,21 March 2024,Talin
Senior Accountant,SOUTH GATE CJSC,13 April 2024,Yerevan
Judicial Acts Enforcement Assurance Junior Lawyer,Viva-MTS (MTS Armenia CJSC),27 March 2024,Yerevan
Գանձապահ,«Դարֆ» ՍՊԸ,13 April 2024,Yerevan
Middle .NET Developer with some DevOps responsibilities,DataArt Armenia,12 April 2024,Yerevan
Medical Officer,“MÉDECINS DU MONDE” Association - Representation in Armenia,01 April 2024,Yerevan
"Strong Middle .NET Developer, Tickets Selling System",DataArt Armenia,12 April 2024,Yerevan
Sales and Service Specialist in Gyumri 1 SC,Viva-MTS (MTS Armenia CJSC),22 March 2024,Gyumri
Sales and Service Specialist in Yerevan SC (On Shift),Viva-MTS (MTS Armenia CJSC),28 March 2024,Yerevan
Appliance Salesman,Food Depot LLC,13 April 2024,Yerevan
Digital Marketing Specialist,Jellyfish Yerevan,13 April 2024,Yerevan
Chief Leasing Development Specialist,AMIO BANK,13 April 2024,Yerevan
Մարքեթոլոգ,«Էրեբունի» ԲԿ,13 April 2024,Yerevan
Digital Marketing Specialist/SMM,Սովռանո ՍՊԸ,13 April 2024,Yerevan
Sales manager,Food Depot LLC,13 April 2024,Yerevan
Մերչենդայզեր,Սովռանո ՍՊԸ,13 April 2024,Yerevan
Head of Sales Department of Construction Materials,MTK LLC,13 April 2024,Yerevan
Partner Development Manager | Portuguese Speaking,Digitain,31 March 2024,Yerevan
Romanian Translator,Digitain,31 March 2024,Yerevan
Korean Translator,Digitain,31 March 2024,Yerevan
DevOps Engineer (Windows),Digitain,31 March 2024,Yerevan
Procurement Specialist,Digitain,31 March 2024,Yerevan
Վաճառքի մասնագետ,New City Projects,13 April 2024,Tsaghkadzor
Առցանց վաճառքի պատասխանատու,"""GLOBAL CREDIT"" UCO CJSC",31 March 2024,Yerevan
Middle Front-End Developer,Ashstone Studios,13 April 2024,Yerevan
Խմբագիր-սրբագրիչ,Zangak Publishing House,13 April 2024,Yerevan
Ստուգումների համակարգող,Հայաստանի Հաշվապահների Ասոցիացիա,13 April 2024,Yerevan
Final Evaluation on “Community Poverty Reduction Know-How” three-year project,Caucasus Research Resource Center (CRRC),28 March 2024,Yerevan
Senior accountant,Ֆրիվեյ Ֆայնանս ՓԲԸ,13 April 2024,Yerevan
Office Manager,Prokat.am,10 April 2024,Yerevan
Հաշվետար,Սովռանո ՍՊԸ,13 April 2024,Yerevan
Շուկայի զարգացման պատասխանատու,Սովռանո ՍՊԸ,13 April 2024,Yerevan
Մարդկային Ռեսուրսների Կառավարման բաժնի ավագ մասնագետ,Սովռանո ՍՊԸ,13 April 2024,Yerevan
Account Manager (English and Turkish languages),SoftConstruct,31 March 2024,Yerevan
Տեխնիկական աջակցման մասնագետ,"""Telecom Armenia"" OJSC",13 April 2024,Yerevan
Senior DevOps Engineer,Nexolabs,12 April 2024,Yerevan                                            (Remote)
C# Software Engineer/Trainer,SmartCode,12 April 2024,Yerevan
Java Engineer/Trainer,SmartCode,12 April 2024,Yerevan
Rewrite,ԱՁ Դավիթ Մարուքյան,10 April 2024,Yerevan                                            (Remote)
Card Operations Appeal and Monitoring Unit Specialist,IDBank CJSC,12 April 2024,Yerevan
Card Operations Appeal and Monitoring Unit Specialist (evening and night shift),IDBank CJSC,29 March 2024,Yerevan
Tour Manager,Galaxy Group of Companies,12 April 2024,Yerevan
Engineer /Corporate Services Directorate /Facility Management Department,CENTRAL BANK OF ARMENIA,31 March 2024,Yerevan
B2B Sales Representative,4u.am,31 March 2024,Yerevan
Կորպորատիվ բիզնեսի վարկային ռիսկերի գնահատման բաժնի առաջատար / գլխավոր մասնագետ,IDBank CJSC,29 March 2024,Yerevan
Մանրածախ խնդրահարույց ակտիվների վերադարձման բաժնի մասնագետ,IDBank CJSC,29 March 2024,Yerevan
Customer Success Specialist,Earlyone,12 April 2024,Yerevan
"SENIOR PROJECT MANAGER (Project Management, Digital Transformation, Business Transformation)",FINCA UCO CJSC,27 March 2024,Yerevan
Accountant,Alias LLC,12 April 2024,Yerevan
Վճարային քարտերով գործարքների մոնիթորինգի խմբի գլխավոր մասնագետ,"""Ardshinbank"" CJSC",21 March 2024,Yerevan
ՓՄՁ բիզնեսի թիմի վերլուծաբան/Երևան,"""Ardshinbank"" CJSC",20 March 2024,Yerevan
ՓՄՁ բիզնեսի թիմի վերլուծաբան/Իջևան,"""Ardshinbank"" CJSC",20 March 2024,Ijevan
ՓՄՁ բիզնեսի թիմի վերլուծաբան/Արմավիր,"""Ardshinbank"" CJSC",20 March 2024,Armavir
Ֆինանսական խորհրդատու/Ապարան մասնաճյուղ,"""Ardshinbank"" CJSC",20 March 2024,Aparan
Վարկային մասնագետ/Տավուշ մասնաճյուղ,"""Ardshinbank"" CJSC",20 March 2024,Berd
Սրահի մենեջեր/Վարդենիս մասնաճյուղ,"""Ardshinbank"" CJSC",21 March 2024,Vardenis
Freelance recruiter,Freedom Broker Armenia,12 April 2024,Yerevan                                            (Remote)
Հաճախորդների հետ հարաբերությունների վարչության պետ,ՅՈՒՆԻԲԱՆԿ ԲԲԸ,12 April 2024,Yerevan
Credit portfolio collection specialist,"LMS LLC, Loan Management Services",12 April 2024,Yerevan
Data analyst,AMIO BANK,12 April 2024,Yerevan
Տնտեսվար,"""Նատալի Ֆարմ Դեղատուն՛՛ ՍՊԸ",12 April 2024,Yerevan
IT Business Analyst,Ameriabank CJSC,26 March 2024,Yerevan
Leasing specialist,«Արմենիան Լիզինգ Քամփնի» ՈՒՎԿ ՓԲԸ,12 April 2024,Yerevan
Middle .NET Developer,Digitain,12 April 2024,Yerevan
