Job name,Company,Deadline,Location
Accountant,Wallet,05 April 2024,Yerevan                                            (Remote)
Tour administrator,Yerani Travel LLC,04 April 2024,Yerevan
Marketing specialist,Noor Wedding Armenia,04 April 2024,Yerevan
Incoming Tour Manager,ARARA LLC,04 April 2024,Yerevan
SMM մասնագետ,Hosteeva LLC,04 April 2024,Yerevan
Concierge,Tufenkian Hospitality LLC,30 March 2024,Yerevan
Chief Financial Officer,FastMedia,04 April 2024,Yerevan
Night Shift Receptionist,Messier 53 Hotel Yerevan,04 April 2024,Yerevan
Link-Building Specialist,LinkyJuice,04 April 2024,Yerevan
English Langauge Communications specialist (Native),TUMO Center for Creative Technologies,04 April 2024,Yerevan
IT Project Manager,L-IT Armenia,04 April 2024,Yerevan
Senior Recruiter,SoftConstruct,04 April 2024,Yerevan
Խաղավարի Օգնական,SoftConstruct,04 April 2024,Yerevan
SMM and PR Specialist/VBET,SoftConstruct,04 April 2024,Yerevan
Game Presenter,SoftConstruct,04 April 2024,Yerevan
Խաղավար,SoftConstruct,04 April 2024,Yerevan
Recruiter,SoftConstruct,04 April 2024,Yerevan
Տեսահսկման բաժնի աշխատակից,SoftConstruct,04 April 2024,Yerevan
Partnership Manager,Business Development Group (BDG),04 April 2024,Yerevan
Office Manager,Balchug Capital,31 March 2024,Yerevan
Լողավազանի աշխատակից/ Pool Attendant,The Alexander Yerevan Hotel,04 April 2024,Yerevan
Licensing and Certification Specialist,SoftConstruct,04 April 2024,Yerevan
"Account Manager (Arabic, Turkish and English languages)",SoftConstruct,31 March 2024,Yerevan
Account Manager (English and Russian Languages),SoftConstruct,31 March 2024,Yerevan
ՄՌԿ դեպարտամենտի ղեկավար,«Էրեբունի» ԲԿ,04 April 2024,Yerevan
Accountant,DIGITAI LLC,04 April 2024,Yerevan
Manager of import department,VENDA LLC,04 April 2024,Yerevan
HR Specialist,New City Projects,04 April 2024,Yerevan
Հաշվապահ-Հաշվետար,MIX PAINTS LLC,04 April 2024,Yerevan
Customer Support Specialist,Support My App,03 April 2024,Yerevan
Backend Engineer (Java),Routetitan,04 April 2024,Yerevan                                            (Remote)
Information Security and IAM Officer,Adjarabet.am,31 March 2024,Yerevan
"Senior PHP Developer, CRM Software",DataArt Armenia,04 April 2024,Yerevan
Ֆինանսական Վերլուծաբան,Atenk Ltd,04 April 2024,Yerevan
Շինարարական Աշխատանքների Ղեկավարի Տեղակալ,SoftConstruct,04 April 2024,Yerevan
Customer Service  Specialist,Adjarabet.am,31 March 2024,Yerevan
Ոսկերիչ գնահատողի օգնական ՝ «Չարենցավան» մասնաճյուղում,FastBank CJSC,04 April 2024,Yerevan
Shop Consultant,Food Depot LLC,04 April 2024,Yerevan
Ոսկերիչ գնահատողի օգնական,FastBank CJSC,04 April 2024,Yerevan
Senior Recruiter,CreedRoomz,31 March 2024,Yerevan
Shuffler,Evolution,04 April 2024,Yerevan
Game Presenter,Evolution,04 April 2024,Yerevan
Խաղաթղթավար (շաֆլեր),Evolution,04 April 2024,Yerevan
Russian Speaking Game Presenter,Evolution,04 April 2024,Yerevan
sales consultant,Ecoprof LLC,04 April 2024,Yerevan
Premium Customers Manager,Inecobank CJSC,31 March 2024,Yerevan
Accountant,Պրեմիեր Ֆուդս ՍՊԸ,04 April 2024,Yerevan
Legal Counsel,SoftConstruct,04 April 2024,Yerevan
Teller,Evocabank,31 March 2024,Yerevan
Sales Consultant - morning shift,Linz Optic ZEISS Vision Expert,04 April 2024,Yerevan
Администратор,Hotel Central LLC,04 April 2024,Yerevan
Lecturer in Computer Science,American University of Armenia Fund,04 April 2024,Yerevan
Accountant for EY’s Tax practice in Armenia,Ernst and Young CJSC (EY),04 April 2024,Yerevan
Social Media Manager,Fastex,31 March 2024,Yerevan
Digital Marketing Specialist,Fastex,31 March 2024,Yerevan
Office Manager,Doping Creative Agency,04 April 2024,Yerevan
Junior Investment Analyst,Optimum Partners -Armenia,31 March 2024,Yerevan                                            (Remote)
Sports Trader,SKILLEX,03 April 2024,Yerevan
«Գործառնական օր» համակարգի ադմինիստրատոր,IDBank CJSC,22 March 2024,Yerevan
SEO Specialist,Straight Up Search,03 April 2024,Northampton                                            (Remote)
Վաճառքի և սպասարկման մասնագետ,Ucom,03 April 2024,Yerevan
Հաշվապահ,Ucom,03 April 2024,Yerevan
Corporate Lending Leading Analyst,IDBank CJSC,22 March 2024,Yerevan
Group Treasury Head,SoftConstruct,03 April 2024,Yerevan
Head of Procurement department,Galaxy Group of Companies,03 April 2024,Yerevan
Plant IT Systems Specialist,ContourGlobal Hydro Cascade,03 April 2024,Goris
Legal Consultant,«ՔԵՅԷՄՋԻ ՔՈՆՍԱԼԹԻՆԳ» ՍՊԸ,03 April 2024,Yerevan
Receptionist,Digitain,03 April 2024,Yerevan
Marketing Director,Galaxy Group of Companies,03 April 2024,Yerevan
Mid/Senior Content Writer,10Web,03 April 2024,Yerevan
Senior Motion Designer,TokenWin,03 April 2024,Yerevan
SMM Specialist,SoftConstruct,03 April 2024,Yerevan
People and Culture Specialist,4u.am,03 April 2024,Yerevan
Կայանների  տեղակայման գործակալ,Ucom,27 March 2024,Yerevan
Pharmacist/Pharmaceutist,"""Նատալի Ֆարմ Դեղատուն՛՛ ՍՊԸ",03 April 2024,Yerevan
ՏՏ հաշվետվությունների մասնագետ,Telcell,03 April 2024,Yerevan
Cashier,Food Depot LLC,03 April 2024,Yerevan
PHP Intern,CodeTitans,03 April 2024,Yerevan
Վաճառքի աջակցման մասնագետ,VELOX CU,03 April 2024,Yerevan
Chief Financial Officer,HAYASA HOSPITALITY GROUP LLC,03 April 2024,Yerevan
Graphic Designer,SoftConstruct,03 April 2024,Yerevan
HR Specialist,Sniper Marketing,03 April 2024,Yerevan
Insurance Sales Manager,Golden Road Insurance Agency Inc,31 March 2024,Yerevan
SMM specialist,Sniper Marketing,03 April 2024,Yerevan
"Senior loan analyst, Payment Instruments and Escrow Division",Ameriabank CJSC,20 March 2024,Yerevan
Chief Executive Officer (CEO) of Amrots Foundation,818 Consulting,03 April 2024,Yerevan
Junior Front End Developer / Intern,Ithire,03 April 2024,Yerevan
Մաքսային կրտսեր մասնագետ,Alfa-Pharm CJSC,03 April 2024,Yerevan
Sales Consultant,NIKO GROUP,03 April 2024,Yerevan
Ֆինտեխ պրոդուկտների մենեջեր,Telcell,03 April 2024,Yerevan
Marketing Specialist,Enterprise Rent-A-Car,27 March 2024,Yerevan
ATM and POS operations officer,Byblos Bank Armenia CJSC,29 March 2024,Yerevan
Customer Support Agent -French Language(mixed shifts),SoftConstruct,31 March 2024,Yerevan
Customer Support Agent -Turkish and English Languages,SoftConstruct,31 March 2024,Yerevan
Customer Support Agent - Korean Language,SoftConstruct,31 March 2024,Yerevan
Sales Specialist,SoftConstruct,31 March 2024,Yerevan
Wordpress and IT Specialist,Nomi Labs,03 April 2024,Yerevan                                            (Remote)
Customer Support Agent - Spanish and English Languages,SoftConstruct,31 March 2024,Yerevan
"Customer Support Agent -Armenian,Russian and English Languages",SoftConstruct,31 March 2024,Yerevan
Customer Support Agent - Arabic and English Languages,SoftConstruct,31 March 2024,Yerevan
Innovation and Business Development Manager,Nomi Labs,03 April 2024,Yerevan                                            (Remote)
Motion Graphics Designer,Nomi Labs,03 April 2024,Yerevan                                            (Remote)
Senior International Lawyer,Digitain,03 April 2024,Yerevan
Business Analyst,Digitain,03 April 2024,Yerevan
React Native Developer,Locator CJSC,03 April 2024,Yerevan
Junior AML Specialist,Landmark Capital,03 April 2024,Yerevan
Content Writer,"""ALEX RETAIL COMPANY"" LLC",31 March 2024,Yerevan
Sales Manager,"""ALEX RETAIL COMPANY"" LLC",31 March 2024,Yerevan
SUPPLY CHAIN OFFICER,MEDECINS SANS FRONTIERES (MSF) -Switzerland,23 March 2024,Yerevan
Chief Accountant,"""ALEX RETAIL COMPANY"" LLC",31 March 2024,Yerevan
Financial Analyst,ԷԼԻ ՔԱՐՍ ՍԵՐՎԻՍ ՍՊԸ,03 April 2024,Yerevan
Տեխնիկական սպասարկման մասնագետ,Easy Pay,03 April 2024,Yerevan
SMM SPECIALIST,"""ALEX RETAIL COMPANY"" LLC",31 March 2024,Yerevan
Ukrainian Speaking Game Presenter,Digitain,31 March 2024,Yerevan
Make-up artist,Imagine Live,31 March 2024,Yerevan
Game Host,Imagine Live,31 March 2024,Yerevan
Ukrainian Speaking Game Presenter,Imagine Live,31 March 2024,Yerevan
Agile Coach,Ameriabank CJSC,31 March 2024,Yerevan
"Սրահի ադմինիստրատոր, ք. Չարենցավան",VTB Bank (Armenia),03 April 2024,Charentsavan
Գնումների մասնագետ,Bacon Product LLC,03 April 2024,Arzni
Բրենդ մենեջեր,Bacon Product LLC,03 April 2024,Arzni
Պահեստների պատասխանատու,Bacon Product LLC,03 April 2024,Arzni
Learning Coach in Areni (part time),TUMO Center for Creative Technologies,31 March 2024,Yeghegnadzor
Learning Coach in Jermuk (part time),TUMO Center for Creative Technologies,31 March 2024,Jermuk
Staff Analog Design Engineer / 48218BR,Synopsys Armenia,03 April 2024,Yerevan
IT Support Admin / 47978BR,Synopsys Armenia,03 April 2024,Yerevan
Staff Analog Design Engineer / 48216BR,Synopsys Armenia,03 April 2024,Yerevan
Վաճառքի և սպասարկման կենտրոնի մասնագետ Երևան  քաղաքում,"""Telecom Armenia"" OJSC",03 April 2024,Yerevan
Customer Service Representative,"""Telecom Armenia"" OJSC",03 April 2024,Yerevan
"Հաճախորդների սպասարկման մասնագետ, ք. Երևան",VTB Bank (Armenia),03 April 2024,Yerevan
"Սրահի ադմինիստրատոր, ք. Երևան",VTB Bank (Armenia),03 April 2024,Yerevan
Construction manager,Test Company,02 April 2024,Yerevan
Warehouse management senior specialist,"""Telecom Armenia"" OJSC",02 April 2024,Yerevan
Office manager,"Shanxi Hydraulic Engineering Construction Bureau Co., Ltd.",31 March 2024,Gyumri
Office Clerk,"Shanxi Hydraulic Engineering Construction Bureau Co., Ltd.",31 March 2024,Gyumri
Front Office Clerk/Receptionist,Grand Hotel Yerevan,02 April 2024,Yerevan
Draftsman,"Shanxi Hydraulic Engineering Construction Bureau Co., Ltd.",31 March 2024,Gyumri
WordPress/SEO Specialist,Tourinvest LLC,02 April 2024,Yerevan                                            (Remote)
Cite Laboratory Engineer,"Shanxi Hydraulic Engineering Construction Bureau Co., Ltd.",31 March 2024,Gyumri
Cite surveyor,"Shanxi Hydraulic Engineering Construction Bureau Co., Ltd.",31 March 2024,Gyumri
Assistant Front Office Manager,Grand Hotel Yerevan,02 April 2024,Yerevan
Պահեստի աշխատակից,Asteria Pharmaceutical Company,01 April 2024,Yerevan
Շուկայի զարգացման պատասխանատու,Ապարան Թան +,01 April 2024,Yerevan
Architects,California Permits,31 March 2024,Yerevan
Director of Marketing,EV Motors Group,31 March 2024,Yerevan
.Net/Umbraco Engineer,Acumen Technologies Armenia,31 March 2024,Yerevan                                            (Remote)
Medical Representative,Med Standard,28 March 2024,Yerevan
Import/Export Specialist,ASEDL LLC,31 March 2024,Yerevan
Executive Assistant,Med Standard,28 March 2024,Yerevan
FRM Experienced Consultant,KPMG Armenia LLC,31 March 2024,Yerevan
Sales Specialist,CreedRoomz,31 March 2024,Yerevan
Game Presenter,CreedRoomz,31 March 2024,Yerevan
Խաղավարի օգնական,CreedRoomz,31 March 2024,Yerevan
Խաղավար,CreedRoomz,31 March 2024,Yerevan
Recruiter,CreedRoomz,31 March 2024,Yerevan
SMM Specialist,Ceramica,31 March 2024,Yerevan
Ինժեներ-մեխանիկ,Atenk Ltd,31 March 2024,Yerevan
sales manager,Fast Shift LLC,31 March 2024,Yerevan
Wireless/RF Engineer,Huawei Armenia,31 March 2024,Yerevan
IP Engineer,Huawei Armenia,31 March 2024,Yerevan
Կորպորատիվ բիզնեսի կառավարման ծառայությունում՝ պրոդուկտների մասնագետ,FastBank CJSC,31 March 2024,Yerevan
Operator,VFS Global LLC,31 March 2024,Yerevan
Կոնտակտային կենտրոնի Հաճախորդների սպասարկման մասնագետ՝ 13։00-22։00 աշխատաժամանակով,FastBank CJSC,31 March 2024,Yerevan
Head of Product Operations (iGaming B2C),TokenWin,31 March 2024,Yerevan
Portfolio Strategy Supervisor,Philip Morris Armenia LLC,31 March 2024,Yerevan
Supervisor Analysis & Reporting,Philip Morris Armenia LLC,31 March 2024,Yerevan
Գանձապահ «Մասիս» մասնաճյուղում,FINCA UCO CJSC,21 March 2024,Masis
Անալիտիկ սարքավորումների վաճառքի մասնագետ,Concern-Energomash  CJSC,31 March 2024,Yerevan
Մարքեթինգի մասնագետ,Concern-Energomash  CJSC,31 March 2024,Yerevan
Reservations Coordinator,Ramada Hotel & Suites Yerevan,31 March 2024,Yerevan
Music Content Manager,Naghashyan Solutions,31 March 2024,Yerevan
CaseKey Case Competiton 2024,CaseKey Case Competition,31 March 2024,Yerevan
Ներքին դիտարկումների ծառայության ղեկավար,FastBank CJSC,31 March 2024,Yerevan
"Փոքր բիզնեսի վարկային մասնագետ, ք․Արտաշատ",VTB Bank (Armenia),31 March 2024,Artashat
Graphic designer,"""Telecom Armenia"" OJSC",31 March 2024,Yerevan
Կորպորատիվ պրոդուկտների մենեջեր,FastBank CJSC,31 March 2024,Yerevan
Security Engineer,Axcient,31 March 2024,Yerevan
Վարկային ռիսկի մոդելավորման ավագ մասնագետ,Acba Bank OJSC,27 March 2024,Yerevan
Financial Analyst (iGaming),TokenWin,31 March 2024,Yerevan
Clinical report coordinator,BostonGene Technologies,31 March 2024,Yerevan
Call Center Operator,Dalma Garden Mall,21 March 2024,Yerevan
Game Presenter,Imagine Live,31 March 2024,Yerevan
Դերձակ,Imagine Live,31 March 2024,Yerevan
Scheduling Specialist,Imagine Live,31 March 2024,Yerevan
Shuffler,Imagine Live,31 March 2024,Yerevan
Customer Support Specialist (Farsi speaking),Golden SB Tech Group,31 March 2024,Yerevan
Experienced QA engineer,Earlyone,31 March 2024,Yerevan
Hr Manager,Yerevan Place,31 March 2024,Yerevan
Գրաֆիկ Դիզայներ,Converse Bank,31 March 2024,Yerevan
Իրավաբան,Ares Law Firm,31 March 2024,Yerevan
Customer Support Agent (Turkish) / VBET - Mixed Shifts,SoftConstruct,31 March 2024,Yerevan
ԲՐԵՆԴԻ ԶԱՐԳԱՑՄԱՆ ՊԱՏԱՍԽԱՆԱՏՈՒ,Derjava,31 March 2024,Yerevan
Սպասարկման մասնագետ,iNet,31 March 2024,Yerevan
Russian Speaking Game Presenter,Imagine Live,31 March 2024,Yerevan
Technical Support Specialist,Imagine Live,31 March 2024,Yerevan
Team Manager,Imagine Live,31 March 2024,Yerevan
Turkish Speaking Game Presenter,Imagine Live,31 March 2024,Yerevan
Զանգերի կենտրոնի օպերատոր,Telcell,31 March 2024,Yerevan
Graphic designer,Երևանի ՙՙՇամպայն Գինիների Գործարանՙՙ ԲԲԸ,31 March 2024,Yerevan
Creative Strategy Development Manager,McCann Erickson LLC,22 March 2024,Yerevan
SMM Specialist,Mobile Centre,31 March 2024,Yerevan
Copywriter,FastMedia,31 March 2024,Yerevan
Chief Accountant,FlyOne Armenia,31 March 2024,Yerevan
Բնապահպանական և սոցիալական ռիսկերի կառավարման համակարգի պատասխանատու,ARMECONOMBANK OJSC,31 March 2024,Yerevan
Հաճախորդների սպասարկման որակի վերահսկողության մասնագետ,"""Telecom Armenia"" OJSC",31 March 2024,Yerevan
Գրավոր հարթակի սպասարկման մասնագետներ ք. Երևան,"""Telecom Armenia"" OJSC",31 March 2024,Yerevan
Թիմ ղեկավար,Bacon Product LLC,31 March 2024,Arzni
Վաճառքի տնօրեն,Bacon Product LLC,31 March 2024,Arzni
Վաճառքի մենեջեր,Rocarm ՍՊԸ,31 March 2024,Yerevan
Մանրէաբան,ՀԵԴ ՔՈՐՓՈՐԵՅՇՆ ՍՊԸ,20 March 2024,Yerevan
Հոսքագծի օպերատոր,ՀԵԴ ՔՈՐՓՈՐԵՅՇՆ ՍՊԸ,21 March 2024,Yerevan
Accountant,Profin Consulting,30 March 2024,Yerevan
"Senior Full Stack Developer/Tech Lead, Information Technology Services",DataArt Armenia,30 March 2024,Yerevan
Մոնտաժող/,iNet,30 March 2024,Yerevan
Accountant,Սոլիդ Ըքաունթ,30 March 2024,Yerevan
"Operations Representative (Customer Support, Logistics Specialist)",Buymie,30 March 2024,Yerevan
Procurement Manager,ContourGlobal Hydro Cascade,30 March 2024,Goris
Tutor (not paid internship),Աղունիկ զարգացման կենտրոն հիմնադրամ,29 March 2024,Yerevan
Սրահի մենեջեր,Best Group LLC,30 March 2024,Yerevan
Mobile Network Monitoring Engineer,Viva-MTS (MTS Armenia CJSC),30 March 2024,Yerevan
Lawyer,Թայմլես ՍՊԸ,30 March 2024,Yerevan
"Group Brand Management and Logistics Coordinator (Armenia, Georgia, Belarus)",Թայմլես ՍՊԸ,30 March 2024,Yerevan
Content Writer,SoftLand LLC,30 March 2024,Yerevan
Support specialist (Farsi),Axioma Ltd,28 March 2024,Yerevan
Production line operator,A  M Rare,30 March 2024,Hankavan
Management accounting specialist,''Armenia'' International Airports'' CJSC,30 March 2024,Yerevan
Product and Customer Journey Expert,Ameriabank CJSC,25 March 2024,Yerevan
Առաջատար վերլուծաբան,ՅՈՒՆԻԲԱՆԿ ԲԲԸ,30 March 2024,Yerevan
Technical Support Lead/Manager,Krisp,30 March 2024,Yerevan
Chemistry Teacher,CIS Armenia International School,30 March 2024,Yerevan
"Chief specialist, Compliance Unit",Converse Bank,30 March 2024,Yerevan
Game Presenter,Art Production,30 March 2024,Yerevan
Python Developer (On-site),Logix Software LLC,30 March 2024,Yerevan
"Senior Specialist, Accounting",ServiceTitan,30 March 2024,Yerevan
Sales manager,Avenue Consulting Group LLC,30 March 2024,Yerevan
Գլխավոր ճարտարագետ /Գլխավոր ինժեներ,New City Projects,30 March 2024,Yerevan
Chemist-laboratory assistant,Թամարա ՍՊԸ,30 March 2024,Abovyan
Менеджер по продажам,Lomano,30 March 2024,Yerevan                                            (Remote)
UI/UX and Graphic Designer,ERP Solutions LLC,30 March 2024,Yerevan
QA Engineer (Odoo),ERP Solutions LLC,30 March 2024,Yerevan
Ավագ աշխղեկ,"""Telecom Armenia"" OJSC",30 March 2024,Yerevan
Բանվոր,Dalma Garden Mall,28 March 2024,Yerevan
Assistant to the deputy general director,VTB Bank (Armenia),30 March 2024,Yerevan
System Administrator (Mid Level),Acba Bank OJSC,23 March 2024,Yerevan
Դատաիրավական բաժնի ղեկավար,Evocabank,29 March 2024,Yerevan
Credit portfolio collection specialist,"LMS LLC, Loan Management Services",30 March 2024,Yerevan
assistant accountant,Թամարա ՍՊԸ,30 March 2024,Abovyan
Junior auditor,"""Telecom Armenia"" OJSC",30 March 2024,Yerevan
Պահանջվում է ֆինանսիստ,Papaya,29 March 2024,Yerevan
Frontend Engineer (React),Routetitan,29 March 2024,Yerevan                                            (Remote)
Պրոդուկտի ղեկավար,Garage Masters' Mall,29 March 2024,Yerevan
Python Developer,INOGATE,29 March 2024,Yerevan
Accountant,Ռոյալ Իմպորտ ՍՊԸ,27 March 2024,Yerevan
Վաճառող խորհրդատու,Սմարթ Դիստրիբյուշն,29 March 2024,Yerevan
Հաշվապահ և աուդիտոր,Աբադ Ռահան Փարս,27 March 2024,Yerevan
"Specialist, Investment Operations Unit",Converse Bank,20 March 2024,Yerevan
Տեխնիկական աջակցման մասնագետ,Telcell,29 March 2024,Yerevan
"Փոքր բիզնեսի վարկային մասնագետ, ք․Երևան",VTB Bank (Armenia),29 March 2024,Yerevan
Ապառիկների ձևակերպման մասնագետ,EcoVille LLC,29 March 2024,Yerevan
Delivery Manager of Engineering,Plat.ai,29 March 2024,Yerevan
Chief Accountant,"Radisson BLU Hotel, Yerevan",28 March 2024,Yerevan
Partner Support Specialist,SoftConstruct,29 March 2024,Yerevan
Հրուշակեղենի արտադրամասի տնօրեն,Անդակո ՍՊԸ,29 March 2024,Yerevan
"Փոքր բիզնեսի վարկային մասնագետ, ք․Աբովյան",VTB Bank (Armenia),29 March 2024,Abovyan
Sales Specialist,Basmoarm LLC,29 March 2024,Yerevan
"Փոքր բիզնեսի վարկային մասնագետ, ք․Էջմիածին",VTB Bank (Armenia),29 March 2024,Vagharshapat
Senior Java Engineer,Telcell,28 March 2024,Yerevan
Summer Camp Coordinator,TUMO Center for Creative Technologies,29 March 2024,Yerevan
Accountant,KHACHATRYAN CONSULTING,29 March 2024,Yerevan
Վարկային մասնագետ /Աջափնյակ/ մասնաճյուղում,ԿՐԵԴՈ ՖԻՆԱՆՍ ՈՒՎԿ ՓԲԸ,29 March 2024,Yerevan
Շրջիկ վարկային մասնագետ բոլոր մասնաճյուղերի համար,ԿՐԵԴՈ ՖԻՆԱՆՍ ՈՒՎԿ ՓԲԸ,29 March 2024,Yerevan
Quantitative Research Intern (Summer 2024),WorldQuant,29 March 2024,Yerevan
Junior Java Developer,Polixis,29 March 2024,Yerevan
Business Analyst,Chartrics Software Solutions LLC,29 March 2024,Yerevan
2D Spine Animator,Digitain,29 March 2024,Yerevan
Telecom solutions (services) sales & development leading specialist,"""Telecom Armenia"" OJSC",29 March 2024,Yerevan
Head of Compliance,SoftConstruct,29 March 2024,Yerevan
Մերչենդայզինգի (ապրանքադասավորվածության) մասնագետ,"""Telecom Armenia"" OJSC",29 March 2024,Yerevan
Construction manager,Test Company,20 March 2024,Yerevan
Principal Full Stack Developer,Partnerly LLC,28 March 2024,Yerevan
Senior PHP Software Engineer,Partnerly LLC,28 March 2024,Yerevan
Senior React Front-End Software Engineer,Partnerly LLC,28 March 2024,Yerevan
Dispatcher,FF Dispatch,28 March 2024,Yerevan
Desktop Support Technician,KPartners cjsc,28 March 2024,Yerevan
կոնտենտ մենեջեր / քոփիրայթեր,Reyma,28 March 2024,Yerevan
HR Manager - Remote,AffPapa,28 March 2024,Yerevan                                            (Remote)
Office Manager,RED Invest Group,28 March 2024,Yerevan
Middle/ Senior Back-End Developer (Node.js),InConcept Labs | Software Development Company,28 March 2024,Yerevan
Support Center Specialist,VXSoft LLC,27 March 2024,Yerevan
Senior Accountant,Rock-West,28 March 2024,Yerevan
Բարիստա/Գանձապահ,Coffee House Company,28 March 2024,Yerevan
QA Engineer (Manual + Auto),INOGATE,27 March 2024,Yerevan
Brand Manager,Burmunk Perfumery Chain,28 March 2024,Yerevan
Business Builder,Philip Morris Armenia LLC,28 March 2024,Armavir
Administrator,ՆՈՐ ՏՈՒՆ,28 March 2024,Yerevan
Հաղորդակցության տնօրեն,Ayb School,28 March 2024,Yerevan
Վարորդ առաքիչ,Սահակյան Թրեյդ ՍՊԸ,28 March 2024,Yerevan
Salon Manager-teamlead,A&A Nail Couture,28 March 2024,Yerevan
Կարիտաս-Արեգակ բարեգործական հիմնադրամի 2023թ. տարեկան ֆինանսական հաշվետվությունների աուդիտն իրականացնող աուդիտորական ընկերություն,ԿԱՐԻՏԱՍ-ԱՐԵԳԱԿ Բարեգործական հիմնադրամ,19 March 2024,Gyumri
Shop/Manager,Test Company,28 March 2024,Yerevan
Risk Manager,iBooben Development,28 March 2024,Yerevan
Call Center Supervisor,Hosteeva LLC,28 March 2024,Yerevan
Senior Copywriter (US)/VBET,SoftConstruct,27 March 2024,Yerevan
Opeations Director Assistant,Hosteeva LLC,28 March 2024,Yerevan
Housekeeper,Chronograph,28 March 2024,Yerevan
Ներմուծման մենեջեր,Brand Leader,28 March 2024,Yerevan
Кладовщик,SPORTMASTER,28 March 2024,Yerevan
Finance & Operations Manager,Democracy International,28 March 2024,Yerevan
Finance & Operations Assistant,Democracy International,28 March 2024,Yerevan
International Customer Support Specialist (with the knowledge of the Arabic language),“Digital Line” Limited Liability Company,28 March 2024,Yerevan
Offre d'emploi Spécialiste du support de la clientèle international (avec la connaissance du français),“Digital Line” Limited Liability Company,28 March 2024,Yerevan
Corporate Sales Manager,Premium Machinery AM LLC,28 March 2024,Yerevan
Executive Assistant,EcoVille LLC,28 March 2024,Yerevan
Data Entry Specialist,One Planet Studios Armenia,28 March 2024,Yerevan
Data center cooling and air conditioning operations engineer,"GNC-ALFA CJSC, Rostelecom Arm",28 March 2024,Abovyan
International Relations Specialist,Relum,28 March 2024,Yerevan
Casino Operation Specialist,Relum,28 March 2024,Yerevan
Ինժեներ  նախագծող,Վոլտա / Volta,28 March 2024,Yerevan
Casino Support Specialist,Relum,28 March 2024,Yerevan
Casino Support Specialist,Relum,28 March 2024,Yerevan
գործավար-թարգմաչուհի,Նյու Ֆորմ ՍՊԸ,28 March 2024,Yerevan
Junior Risk  Monitoring Specialist,Digitain,28 March 2024,Yerevan
Casino Risk Management Specialist,Digitain,28 March 2024,Yerevan
Legal Counsel,ARMENIAN NATIONAL INTERESTS FUND CJSC (ANIF),28 March 2024,Yerevan
Product Manager intern,Foody,28 March 2024,Yerevan
Mid+/Senior Embedded Software Engineer,LanAr Service LLC,27 March 2024,Yerevan
Live Խաղավար,Evolution,28 March 2024,Yerevan
